id,structure_order,q1,q2,q3,q4,q5,q6,q7,PHt,Hs_obs,Hs_exp,IR,HL,pop,sex,length,date,oto_age,natal_region,stocked,lat,long,sibling_group
GOP787,538,0.6954,0.132,0.001,0.0598,0.0078,0.0198,0.0841,0.227862171,0.983209625,1.013166492,-0.028931179,0.639479937,MURRAY-Barmah,NA,NA,2018,12,hatchery,stocked,-35.83489,145.0525,NA
GOP789,539,0.7491,0.0087,0.0015,0.001,0.005,0.2314,0.0033,0.2235459,0.962434817,0.991434934,0.011000219,0.664475086,MURRAY-Barmah,NA,NA,2018,8,mid murray,migrant,-35.83489,145.0525,NA
GOP790,540,0.9745,0,0.0032,0.001,0.004,0.0153,0.002,0.215110178,0.929221813,0.956701968,0.038822757,0.662912958,MURRAY-Barmah,NA,NA,2018,9,lower darling,migrant,-35.83489,145.0525,NA
GOP792,542,0.9602,0.0155,0.0048,0.0023,0.0048,0.0013,0.011,0.226717824,0.978516787,1.007965631,-0.021021673,0.646751403,MURRAY-Barmah,NA,NA,2018,8,broken,migrant,-35.83489,145.0525,NA
GOP793,543,0.6941,0.0005,0.228,0.0015,0.0562,0.013,0.0067,0.236649215,1.019580089,1.050843337,-0.041227801,0.637158312,MURRAY-Barmah,NA,NA,2018,22,mid murray,migrant,-35.83489,145.0525,NA
GOP520,279,0.9533,0.0045,0.0302,0.001,0.0028,0.0065,0.0017,0.227319765,0.980209557,1.009770837,-0.018828321,0.641058756,MURRAY-dsYarrawonga,NA,497,16/6/2018,12,hatchery,YES,-36.006414,145.972408,NA
GOP522,281,0.8553,0.002,0.1204,0.0012,0.0133,0.0045,0.0033,0.233793103,1.008229874,1.038579248,-0.031706983,0.645750166,MURRAY-dsYarrawonga,NA,NA,2018,12,upper murray,native,-36.006414,145.972408,NA
GOP523,282,0.9688,0.001,0.001,0.0075,0.0075,0.0015,0.0127,0.227948807,0.985650596,1.01528367,-0.008364575,0.64735722,MURRAY-dsYarrawonga,NA,412,16/6/2018,11,goulburn,NO,-36.006414,145.972408,NA
GOP524,283,0.9625,0.0018,0.0018,0.0017,0.001,0.0287,0.0025,0.231749311,0.999550242,1.029484778,-0.034419455,0.643146374,MURRAY-dsYarrawonga,NA,395,16/6/2018,7,upper murray,NO,-36.006414,145.972408,NA
GOP525,284,0.5928,0.001,0.0155,0.001,0.001,0.3868,0.0018,0.25,1.083678785,1.116440269,-0.116933159,0.608146301,MURRAY-dsYarrawonga,NA,447,16/6/2018,9,mid murray,NO,-36.006414,145.972408,NA
GOP526,285,0.2825,0.5318,0.1278,0.0048,0.0013,0.0037,0.048,0.220227822,0.950532383,0.979014304,0.011982594,0.651054855,MURRAY-dsYarrawonga,NA,435,16/6/2018,5,hatchery,YES,-36.006414,145.972408,NA
GOP527,286,0.9677,0.002,0.0153,0.001,0.0032,0.009,0.0018,0.2226051,0.96021417,0.989053903,0.001921274,0.660326078,MURRAY-dsYarrawonga,NA,460,16/6/2018,15,upper murray,NO,-36.006414,145.972408,NA
GOP528,287,0.9235,0.0567,0.0008,0.001,0.0012,0.0158,0.001,0.228197173,0.984407024,1.013843148,0.0013271,0.650701651,MURRAY-dsYarrawonga,NA,409,16/6/2018,11,loddon,NO,-36.006414,145.972408,NA
GOP529,288,0.9502,0.001,0.0067,0.0017,0.0147,0.0098,0.016,0.231327801,0.998552887,1.028049241,-0.0460385,0.628876345,MURRAY-dsYarrawonga,NA,415,16/6/2018,8,hatchery,YES,-36.006414,145.972408,NA
GOP530,289,0.1255,0.0025,0.856,0.0015,0.0013,0.0078,0.0053,0.209166092,0.902163805,0.929204067,0.057713518,0.670253707,MURRAY-dsYarrawonga,NA,397,16/6/2018,5,hatchery,YES,-36.006414,145.972408,NA
GOP532,291,0.8904,0.0072,0.0018,0.001,0.0787,0.0185,0.0023,0.226551724,0.97652383,1.00579704,-0.015571301,0.652310512,MURRAY-dsYarrawonga,NA,433,16/6/2018,16,hatchery,YES,-36.006414,145.972408,NA
GOP533,292,0.675,0.0018,0.0008,0.0058,0.312,0.0028,0.0017,0.224060669,0.967977186,0.995831189,-0.002632498,0.650291571,MURRAY-dsYarrawonga,NA,482,16/6/2018,12,hatchery,YES,-36.006414,145.972408,NA
GOP534,293,0.2603,0.434,0.0022,0.0018,0.0255,0.2697,0.0065,0.233712513,1.008161912,1.038336038,-0.033593756,0.635356029,MURRAY-dsYarrawonga,NA,385,16/6/2018,9,hatchery,YES,-36.006414,145.972408,NA
GOP535,294,0.987,0.002,0.001,0.0017,0.002,0.0043,0.002,0.230556516,0.995070976,1.025053962,-0.029453112,0.636847572,MURRAY-dsYarrawonga,NA,430,16/6/2018,12,hatchery,YES,-36.006414,145.972408,NA
GOP537,296,0.4057,0.0022,0.4404,0.0015,0.1337,0.0137,0.0028,0.224560193,0.968782632,0.997896045,-0.002748081,0.652358111,MURRAY-dsYarrawonga,NA,424,16/6/2018,8,mid murray,NO,-36.006414,145.972408,NA
GOP538,297,0.718,0.0027,0.002,0.001,0.254,0.02,0.0023,0.222222222,0.958289425,0.987628893,0.0083404,0.66547252,MURRAY-dsYarrawonga,NA,281,16/6/2018,3,broken,NO,-36.006414,145.972408,NA
GOP539,298,0.9793,0.0007,0.0018,0.0028,0.0035,0.0045,0.0073,0.223149114,0.967958564,0.99612963,-0.020476613,0.64179422,MURRAY-dsYarrawonga,NA,420,16/6/2018,10,hatchery,YES,-36.006414,145.972408,NA
GOP475,235,0.9109,0.0142,0.0622,0.001,0.0048,0.0057,0.0012,0.22490514,0.96894076,0.998034374,-0.007353488,0.651616017,MURRAY-mid,NA,295,16/5/2018,4,goulburn,NO,-35.90646,144.41703,NA
GOP510,269,0.8656,0.0012,0.1164,0.0012,0.0053,0.0083,0.002,0.228778468,0.987456233,1.016933982,-0.018533226,0.644771269,MURRAY-mid,NA,305,14/5/2018,2,hatchery,YES,-35.17179,143.38624,NA
GOP392,153,0.4462,0.4534,0.0013,0.0005,0.0924,0.0038,0.0023,0.225561313,0.975163348,1.004383106,-0.008879872,0.647770964,MURRUMBIDGEE,NA,249,3/4/2018,2,lachlan,NO,-34.61709,146.23889,NA
